q_no,q_concept,question,1,2,3,4,5,gold_label,pos_explaination,neg_explaination,combined_explaination
768c7a0413e87306c9242f1982181c4d,eating lunch,"The guy ate a lunch of onions, sardines, and garlic, what did he have as a result?",bad breath,no friends,farts,late for work,gain weight,bad breath,onions and garlic makes your breath bad when you eat them.,"No friends cannot be the result of eating onions and garlic in lunch.
onion garlic like food doesnt cause gas so farts cannot happen because of them.
eating onion garlic in lunch doesnt make you late for work.
Onion and garlic doesn't gain your weight if you eat them.","onions and garlic makes your breath bad when you eat them. No friends cannot be the result of eating onions and garlic in lunch.
        onion garlic like food doesnt cause gas so farts cannot happen because of them. eating onion garlic in lunch doesnt make you late for work.
        Onion and garlic doesn't gain your weight if you eat them."
4f303aef6c47d0179b41bd09eb8d2c3c,knowledge,Other than school or from text where can one gain knowledge?,book,class,thinking,head,meeting,meeting,"Meeting is the medium how people exchange information to large groups at work. Meeting is an assembly of people for formal discussions.
Other than school or from text, one can gain knowledge from meeting.","Book is a written or printed work consisting of pages glued or sewn together along one side and bound in covers. Book is a written or printed work as text is a book and the book other than text is not of the subject, we want to gain knowledge.
Class means a group of students or pupils who are taught together. Class is a group of students whereas School refers to class only and therefore it is not other source of gaining knowledge.
Thinking is the process of considering or reasoning about something. Thinking is process of considering and not the process of gaining knowledge.
Head is the upper part of the human body, or the front or upper part of the body of an animal, typically separated from the rest of the body by a neck, and containing the brain, mouth and sense organs. Head is filled up with the knowledge obtained so, if you want to gain more knowledge it cannot be from Head.","Meeting is the medium how people exchange information to large groups at work. Meeting is an assembly of people for formal discussions. Other than school or from text, one can gain knowledge from meeting. Book is a written or printed work as text is a book and the book other than text is not of the subject, we want to gain knowledge. Class is a group of students whereas School refers to class only and therefore it is not other source of gaining knowledge. Thinking is process of considering and not the process of gaining knowledge. Head is filled up with the knowledge obtained so, if you want to gain more knowledge it cannot be from Head."
965a8cd1fa1fccb58c465e5b6e1dceee,drink,"It was breakfast time.  Brad ordered eggs, toast, and something to drink. What might he drink?",coffee,throw up,food,getting drunk,wine,coffee,"Coffee is drink
People drink coffee in the morning with breakfast.
Brad ordered eggs, toast and coffee to drink","Throw up is not a drink.
Food is not a drink.
Getting drunk is not a drink its an action.
Wine is not taken in breakfast usually.","People drink coffee in the morning with breakfast so Brad ordered eggs, toast and coffee to drink.Throw up is not a drink.Food is to eat not to drink.
           Getting drunk is not a drink its an action. Wine is not taken in breakfast usually."
977c72f166c83c8331b964839f091412,apple tree,Where can you find millions of apple tree?,spain,bible,washington state,woods,orchard,spain,"Spain is an European country whose capital city is Madrid.
Many apple trees are found in a country on Europe's Iberian Peninsula whose capital city is Madrid.","Bible is a book.
Bible isn't a place to have trees.
Washington state is a US state.
One may not find millions of apple trees in Washington state.
Woods is an area covered with trees.
Spain has woods so woods comes under Spain.
Orchard is a land where fruit trees are grown.
Spain has orchard so orchard comes under Spain.",Spain is an European country whose capital city is Madrid and where many apple trees are found. So you can find millions of apple trees in Spain. Bible isn't a place to have trees and one may not find millions of apple trees in Washington state. The other options come under Spain.
a0167eba22bff5cda04196c964db51c0,alcohol,What is something that probably has a lot of testosterone and way too much alcohol?,beer,wine,restaurant,fraternity house,pub,fraternity house,"Testosterone is a steroid hormone found majorly in men.
Men generally drink too much alcohol.
Fraternity house is a building where men generally hangout and drink.","Beer has alcohol but not testosterone.
Wine has alcohol but not testosterone.
Restaurant has alcohol but not testosterone.
Pub has alcohol but not testosterone.","Testosterone is a steroid hormone found majorly in men who also generally drink too much alcohol. Fraternity house is a building where men generally hangout and drink, so that is a place with a lot of testosterone and way too much alcohol. Other options have alcohol but not testosterone."
1edb1b7de245d2dd41175bffb7138c3d,continent,"A continent is a large area of land, but the globe is mostly covered by an what?",ocean,australia,asia,continent,island,ocean,"Globe is covered by ocean mostly.
Globe contains continents and oceans.","Australia is a very small continent.
Asia is itself a continent.
Continent is not described by ""an"".
Globe is not mostly covered by islands.","Globe is covered by ocean mostly. Globe contains continents and oceans. Australia is a very small continent. Asia is itself a continent. Continent is not described by ""an"". Globe is not mostly covered by islands."
2c507970f028159c56c841413105fe83,flirting,"There are many sayings and metaphors about flirting, which one could be found in a machine shop?",feelings,sexual excitement,sparks fly,problems,unwanted pregnancy,sparks fly,"Sparks fly in flirting means having a spark between two people.
A machine shop has various machines that can have spark fly","Machine shops do not have feelings
Machine shops do not have excitement
Problems is not related to saying about flirting
Unwanted pregnancy cannot be found in machine shop","A spark fly is a saying about flirting that one can find in a machine shop. Feelings, excitement and unwanted pregnancy cannot be found in machine shop. Problems are not a syaing about flirting."
9674d7acca0c96e3af6e6ad400e05720,hole,Where would you usually find a hole made by an animal?,trap,golf course,wall,ground,swiss cheese,ground,"Few species of animals make hole in ground.
Some animals live under the ground. They make hole unto the ground to live in it.","Animals can’t save themselves from trap. So, they can’t make a hole on a trap.
Animals don’t play golf. Hence, they usually don’t make a hole there.
Walls are at a height and animals are unable to reach there.
Not all animals get access to swiss cheese. Hence, they are unable to make hole on it.","Animals living on ground has easy access with ground. Some species of animals make hole into it. Swiss cheese and trap are such that animals can’t make hole into it for living. Golf course is not differentiable, and walls are not reachable to animals they can not make holes in it."
1df238ad1cd34ae3e7a3a4cf940161e6,wash,Brenda spent a lot of effort on washing herself.  She hated what?,get messy,cleaning,get dirty,getting dirty,being dirty,being dirty,As Brenda hated being dirty so she spent a lot of effort on washing herself.,"Get messy is not washing.
She dont hates cleaning.
Get dirty is not a suitable option
Getting dirty didnt fits here.",As Brenda hated being dirty so she spent a lot of effort on washing herself. Get messy dont suits here. She dont hates cleaning. Get dirty is not a correct option. Getting dirty didnt fits here.
016ffd3929e330e6bfa8f94447b35075,silverware,Bobby noticed that the silverware was plastic.  This was a turn off for him because it was so cheap.  Where might he have been?,restaurant,silver,cupboard,table,kitchen,restaurant,"at restaurant,  we can find cheap silverwares.
Plastic silverwares are used in a restaurant.","silver ia not a place.
cupboard is not a place
table is not a place
in kitchen, we dont use plastic silverwares.","at restaurant,  we can find cheap silverwares. Plastic silverwares are used in a restaurant.  silver, cupboard or tabel is not a place.  In kitchen, we dont use plastic silverwares."
1c881efa254bcc6167c15b69a7e21a72,side chair,You can put what next to a side chair to make a nice place to read and drink coffee?,office,library,table,building,coffee shop,table,"Table if put next to a chair leads to perfect setup.
Table can be used to keep a book and read and place a cup of coffee","Office cant be put next to a chair.
Library cant be put next to a chair.
Building cant be put next to a chair.
Coffee shop cant be put next to a chair.",Table if put next to a chair leads to perfect setup to read and drink coffee. Office or library or building or cofee shop cant be put next to a chair.
a5f436e425801bdf540464ddec588dee,turkey,Turkey is a nation in what part of the world?,middle east,asia minor,asia,provide meat,balkan peninsula,middle east,Turkey is a nation in the middle east of the world.,"Asia minor is not a part of the world.
Turkey is not in asia.
Provide meat is not a part of the world.
Turkey is not located near balkan peninsula.",Turkey is a nation in the middle east of the world. Asia minor is not a part of the world. Turkey is not in asia. Provide meat is not a part of the world. Turkey is not located near balkan peninsula.
be5ad2a934cb1d42b87aba08aa78b6b9,trees,Where in a town would you see trees near houses?,orchard,conservation land,countryside,yard,surface of earth,yard,"In a town, you would see trees in the yard near houses.
Yard can be seen in the town.","An orchard is not made near houses.
Conservation land cant be seen in the town.
Trees might not be seen in the countryside.
Surface of earth cant be seen near houses.","In a town, you would see trees in the yard near houses. An orchard is not made near houses. Conservation land cant be seen in the town. Trees might not be seen in the countryside. Surface of earth cant be seen near houses."
97121fb37cd8495751c6edbc31bee471,space,"James went to outer space for the first time.  He packed everything, including his peanut butter, into a single object.  Where might his things be?",universe,jar,box,closet,suitcase,suitcase,"A suitcase is used for packing things.
As James went to outer space for the first time so he packed everything like  his peanut butter into a single object called suitcase.","Universe is not an object to pack things while going to the outer space.
Jar is not a correct option.
These things might not be in a box.
Closet cant be taken with by a person when they are going to any outer space.",A suitcase is used for packing things. As James went to outer space for the first time so he packed everything like his peanut butter into a single object called suitcase. Jar is not a correct option. Universe is not an object to pack things while going to the outer space. These things might not be in a box. Closet cant be taken with by a person when they are going to any outer space.
bf992638fcc52679a8d76c4dbacaa29b,town,"He explained the differences between a town and township, the latter of which were common in which of the fifty?",valley,michigan,train station,executive suites.,state,michigan,"Michigan has various townships
Michigan is one of the fifty states of US whhc has townships","There are numerous valleys in world
Train stations do not have township
Executive suites do not have townships
States can be many in various countries and not all states have townships.",Michigan is one of the fifty states of USA and also has various townships in it. All the other options are incorrect as they are not one of the fifty and also do not ahve many townships.
8f18d462ed63aa475f8b4f690bd1ddaf,play games,How do you figure out who wins when you play games?,learn,keep score,try to win,fun,require time to be kept,keep score,"When people play games, they maintain a scorecard and keep score on it
Keeping score is thing done in playing games
The one who has maximum score after keeping score is the winner","Learning can be done anywhere
Try to win is not how one wins
Fun is the thing that one has in process of playing
Require time to be kept does not decide winner","While playing games, people keep scorecard on which scores are maintained. The one with the highest score wins the game. All the other options are icorrect as they are not how one winsg game."
3532dfacc16aef1b83589b1af8f14c9f,boredom,What is good way to break boredom for kids?,play chess,play games,play basket,play cards,watch film,play games,"Kids like fun activities
Playing games is a fun activity
Playing games breaks boredom","Playing chess does not break boredom
Playing basket does not break boredom
Kids do not like to play cards
Kids do not like to watch films","Fun activities interest kids and they include palying games which breaks boredom which playing chess and playing basket do not do. Further, kids do not like to play cards or watch films."
8a137252ad6972fed9af723c4bb4adcf,foot,Where would you put your foot if it is already covered in cloth?,desk,shoe,ground,sock,table,shoe,"Foot can be put in shoe and shoe requires wearing of socks and socks are made of cloth.
Shoes are made for foot only.","Desk is not made to put the foot.
Ground doesn't require always to wear socks for putting the foot on it.
Foot cannot be put on sock as socks are to be worn on foot.
Table is not made to put the shoes.","Foot can be put in shoe and shoe requires wearing of socks and socks are made of cloth and Shoes are made for foot only.
           Desk or table is not made to put the foot.Ground doesn't require always to wear socks for putting the foot on it.
           Foot cannot be put on sock as socks are to be worn on foot."
5202f74d1e40d0d8149d53404e4fab17,shade,"The plant suffered in the shade, where did it need to be planted instead?",brightness,sunny delight,direct sunlight,bright light,tanning,direct sunlight,"Plant needs direct sunlight to grow well.
Plant will suffer if there is less or no sunlight.","Brightness is not a place where a plant can be planted.
Sunny delight is not a place where a plant can be planted.
Plant dont require bright light to grow well.
Tanning is not a place.",Plant needs direct sunlight to grow well. Plant will suffer if there is less or no sunlight. Sunny delight or brightness is not a place where a plant can be planted. Plant dont require bright light to grow well. Tanning is not a place.
f6f03a420f64c64092a8065657141eff,mushrooms,Where can personal mushrooms be kept fresh?,ocean,grocery store,supermarket,refrigerator,pizza,refrigerator,"Refrigerator can have things like mushrooms
Refrigerator keep sthings fresh
Refrigerator is place where mushrooms can be kept","Ocean is water body
grocery store is not related to keeping personal mushrooms
Supermarket does not keep personal mushrooms
pizza has mushrooms as toppings",Refrigerator is a machine where mushrooms and other eatbles are kept. it keeps them fresh. All the other options are not place where one keeps personal mushrooms fresh.
090586da51c18fe5fe8e54df7d8591e0,electricity,The breaker that distributes electricity in your home is usually found where?,basement,bedroom,concert,opera,back yard,basement,"basement is part of home
generally breaker box  of your house is fixed in basement.","bedroom doesnt have breaker box
concert cannot have breaker box of your house
opera cannot have breaker box of your house
breaker box  cannot be fixed in back yard of house.","basement is part of home and  generally breaker box  of your house is fixed in basement.bedroom doesnt have breaker box.
        concert or opera cannot have breaker box of your house. breaker box  cannot be fixed in back yard of house."
66d902f571368951c4fb6892fd2ea773,traveling,What do we feel after travelling a long distance?,energetic,motion sickness,relocation,diarrhea,fatigue,fatigue,"After travelling a long distance, we may feel fatigue.","We cant feel energetic after travelling a long distance.
Motion sickness happens and cant be felt.
Relocation cant be felt after traveling.
Diarrhea is an illness that isnt caused due to long traveling.","After travelling a long distance, we may feel fatigue. We cant feel energetic after travelling a long distance. Motion sickness happens and cant be felt. Relocation cant be felt after traveling. Diarrhea is an illness that isnt caused due to long traveling."
b8c5e0462658510cd83113446ba12eb3,college,"The billionaire donated a large sum to his former college, this allowed them to construct a new science what?",fraternity house,bank,big town,big city,building,building,"College is run from a buildings.
Buildings are required to be constructed.
Construction of new building needs large sum of money.","Fraternity house is a house used to reside or meet for members of fraternity, it has no connection to science
College can’t construct bank as it is not owned by college
Constructing big town is responsibility of a governemnt and not college
Constructing big city is responsibility of a governemnt and not college","College is run from buildings, which requires to be constructed and it required large sume of money which was donated by a billionaire. Fraternity house is used for residing or meeting fraternity members, which has no connection with schience. Bank is not owned by college and big town and big city is responsibility of government so it can't be constructed by college."
373c0c814e27706e898adbfc2a24757d,base,What kind of radio does someone use to reach base?,vessel,box,transistor,submarine,lamp,transistor,"A transistor is a semiconductor device used to amplify or switch electronic signals and electrical power.
Radio is a communication device in which electric signals are amplified.","Vessel is a container and not a type of a radio.
Box is a container and not a type of a radio.
Submarine is an underwater vehicle and not a type of a radio.
Submarine is not a type of a radio.
Lamp is a device that provides light,
Lamp is not a type of a radio.",A transistor is a semiconductor device used to amplify or switch electronic signals and electrical power. Radio is a communication device in which electric signals are amplified so one uses a transistor radio to contact base. All the other options are not types of radio.
dc66415c614b52ab02e5e53d86ee8b73,curb,If you were sitting on a curb in Cincinnati where would you be?,ohio,city,bus stop,street corner,grade,ohio,"Ohio is a state in the East North Central region of the Midwestern United States. Of the fifty states, it is the 34th largest by area, the seventh most populous, and the tenth most densely populated.
If you were sitting on a curb in Cincinnati you would be in Ohio.","City is a large human settlement and can be defined as a permanent and densely settled place with administratively defined boundaries whose members work primarily on non-agricultural tasks. Cincinnati is a city and city can’t be in a city.
Bus stop is a place where a bus regularly stops, usually marked by a sign. You are sitting on a curb means at a bus stop in Cincinnati so you cannot be at bus stop again.
Street corner is the location which lies adjacent to an intersection of two roads. Street corner is where two street meets and it is not where Cincinnati is located.
Grade is a mark indicating the quality of a student's work. Cincinnati is not located in grades.","Ohio is a state in the East North Central region of the Midwestern United States. Of the fifty states, it is the 34th largest by area, the seventh most populous, and the tenth most densely populated. If you were sitting on a curb in Cincinnati you would be in Ohio. Cincinnati is a city and city can’t be in a city. You are sitting on a curb means at a bus stop in Cincinnati so you cannot be at bus stop again. Street corner is where two street meets and it is not where Cincinnati is located. Cincinnati is not located in grades."
ddd5487530c9146f4faa2afe978debda,going jogging,What does going jogging help prevent?,language barrier,heart attacks,heart rate increases,feel pride,sweating,heart attacks,"Jogging is an exercise where one runs at a steady gentle pace.
Exercise keeps one fit and free from some diseases.
Heart attacks are prevented with regular exercise.
Heart attach is a disease.","Language barrier is a communication barrier between people who don't speak a common language.
Jogging won't prevent language barrier.
Heart rate increase means number of heartbeats increase.
Jogging won't prevent heart rate increase.
Pride is the self-esteem after achieving goals.
Jogging won't prevent feeling pride.
Sweating is producing sweat through skin due to heat.
Jogging won't prevent sweating.",Jogging is an exercise where one runs at a steady gentle pace. Exercise keeps one fit and free from some diseases like heart attack hence jogging helps prevent heart attacks. Jogging won't help prevent other options.
fbe877bdf18fa4905a658673415c246e,copulate,"James and Judy are preparing to copulate.  In order to ensure that things go smoothly, they engage in foreplay.  What might they start by doing?",kiss,lubricate,sleep,procreation,sexual release,kiss,"Kissing is the act of caressing with one's lips.
Foreplay is a sexual activity that precedes intercourse.
Caressing with lips is sexual.","Lubricating is preparing the body for intercourse.
Lubricating happens at the end of foreplay, not at the start.
Sleeping is the act of taking rest.
Sleeping isn't a part of foreplay.
Procreation is the act of reproducing.
Procreation is not a part of foreplay.
Sexual release is the climax of intercourse.
Sexual release isn't a part of foreplay.","Kissing is a sexual act of caressing with one's lips which precedes intercourse. James and Judy started by kissing in foreplay as they prepared to copulate. Lubricating happens at the end of foreplay, not the start and the other options aren't a part of foreplay."
554b6e97ab4e6304b19bd3100024721a,giving assistance,"Sarah went to school to be a nurse.  She loved giving assistance to people in need. To better help people, she had to constantly do something.  What might she do to better help people?",people helped,learning new skills,better circumstances,practice,happiness,learning new skills,"Nursing is the profession or practice of providing care for the sick and infirm.
People generally need to learn nursing to be a nurse.
Nursing is a new skill.","People helped means the number of people who are helped.
People helped will not better help people.
One cannot do better circumstances.
Just practicing might not help people better.
Happiness will not better help people.",Nursing is the profession or practice of providing care for the sick and infirm. Sarah wants to become a nurse so she will need to learn new skills to better help people. One cannot do better circumstances and just practicing might not help people better. The other options does not better help people.
49b565f3286e3e24e1bab0cab987154b,parent,What would a parent do after baking some cookies?,experience fear,homeschool,consume the cookies,box gift for child,close box,close box,"A parent when bakes cookie, close it in a box so that it does not ruin and their child can have it.","Experience fear is not related to cookies
Homeschool is not a thing done to cookies
Consuming the cookies is not the thing done by a parent as they bake it
Box gift for child is done when they are using it as a gift","When a parent bakes a cookie, they close it in a box so that they stay fresh for their child. All the other options are not the most fesiable choice as they are not a thing what parents do to cookies."
2de08c7a518b7c226e19bdc8fc10ef1d,mice,Where would you expect to find white mice?,bell cat,bush,attic,countryside,laboratory,laboratory,White mice is unique and can be found in lab where people test it.,"Bell cat is a cat
Bush can have any kind of mice
Countryside can have any kind of mice
Attic usually do not have mice",White mice are unquie and many can be found in laboratories where they can be tested. All the other place can have any type of mice.
33b92ff1139bb0efc2faa258d85ec718,thinking,Why would a person require a large amount of thinking?,fatigue,best way,new perspectives,depression,figure out,figure out,"Thinking is to be done in order to figure out.
To figure out something, a person would require a large amount of thinking.","Fatigue isnt required with thinking.
Only by thinking a person, a person cant reach the best way.
Depression is not required in thinking.
Large amount of thinking cant give a person any new perspective.","To figure out something, a person would require a large amount of thinking. Fatigue isnt required with thinking. Only by thinking a person, a person cant reach the best way. Depression is not required in thinking. Large amount of thinking cant give a person any new perspective."
a03a027e7c1debe944663677d23d7a22,stranger,"Billy wasn't a stranger, but they hadn't spoken to him often, either.  How would you describe him?",family,known person,friend,relative,crowd,known person,"Billy wasn't a stranger, but a known person.
Billy can be described as a known person for them but they hadn't spoken to him often, either.","He was not the family.
Billy wasn't a stranger, but also not a friend.
He was not the relative.
A person cant be a crowd.","Billy can be described as a known person for them but they hadn't spoken to him often, either. Billy wasn't a stranger, but a known person. Billy wasn't a stranger, but also not a friend. He was not the relative or family. A person cant be a crowd."
55121808283a5a58744531236e0a9e79,getting up early,"He actually felt refreshed after switching to getting up early, sleeping in had been leaving him what all day?",bloodshot eyes,alertness,feeling tired,starting early,happy,feeling tired,"Waking up late in the mornings may cause laziness and tiredness.
Sleeping in means waking up late.","Waking early may cause bloodshot eyes.
Waking late does not cause bloodshot eyes.
Waking late does not cause alertness.
Waking early cause starting early.
Waking late does not cause starting early.
Waking late does not cause happiness.",Waking up late in the mornings causes laziness and tiredness. He felt tired when he was sleeping in. Sleeping in does not cause the things mentioned in the other options.
626edc70e2e4824b985029dd52db0f9a,computer,Where would you find a computer near very young people learning?,apartment,house,classroom,hallway,demonstration,classroom,A classroom is where you find a computer near very young people learning because young students in schools use computers for their education.,"An apartment is where people of varying age groups reside with or without computers.
House is a place where people of varying age groups reside with or without computers.
Hallway is an entrance hall which people of varying age groups use to commute and does not have computers.
Demonstration is a practical exhibition or explanation done without use of computers.",A classroom is where you find a computer near very young people learning because young students in schools use computers for their education. Apartment and house are where people of varying age groups reside with or without computers. Hallway is an entrance hall which people of varying age groups use to commute and it doesn’t have computers. Demonstration isn’t a valid answer because it’s a practical exhibition done without the use of computers.
