sentence,option1,option2,answer
Megan said it would be liberating to go out without makeup like Elena does. _ always wore makeup when she left the house.,Megan,Elena,1
Donald was richer than Leslie was because companies had found oil on the property of _ .,Donald,Leslie,1
Donald was poorer than Leslie was because companies had found oil on the property of _ .,Donald,Leslie,2
"Feeling a draft, William asked Neil to please close the front door because _ was closer.",William,Neil,2
"Feeling a draft, William asked Neil to please close the front door because _ was farther away.",William,Neil,1
Lindsey loved the taste of duck but Megan liked chicken better. _ ordered the kung pao chicken for dinner.,Lindsey,Megan,2
Lindsey loved the taste of duck but Megan liked chicken better. _ ordered the Peking Duck for dinner.,Lindsey,Megan,1
Elena would grab their inventory in the back of the store for Megan to sell each time because _ was a loyal customer.,Elena,Megan,2
Elena would grab their inventory in the back of the store for Megan to sell each time because _ was a businessperson.,Elena,Megan,1
"Kenneth asked Dennis what time the dance was being held, but _ had forgotten.",Kenneth,Dennis,2
"Kenneth asked Dennis what time the dance was being held, because _ had forgotten.",Kenneth,Dennis,1
"Eric was teaching all of the proper stretches to Neil, because _ was using them to get paid.",Eric,Neil,1
"Eric was teaching all of the proper stretches to Neil, because _ was using them to get in shape.",Eric,Neil,2
"When buying a home, Patricia doesn't have as much money to spend as Tanya, so _ buys a 5 bedroom house.",Patricia,Tanya,2
"When buying a home, Patricia doesn't have as much money to spend as Tanya, so _ buys a 1 bedroom house.",Patricia,Tanya,1
"I wanted to buy small tweezer to fit in my wristlet, but they still didn't fit. The _ were too small.",tweezer,wristlet,2
"I wanted to buy small tweezer to fit in my wristlet, but they still didn't fit. The _ were too big.",tweezer,wristlet,1
Handling emergencies was never very difficult for Kevin but it was for Nelson because _ could remain calm under pressure.,Kevin,Nelson,1
Handling emergencies was never very difficult for Kevin but it was for Nelson because _ wasn't able to remain calm under pressure.,Kevin,Nelson,2
"Emily asked her sister Sarah if she needed any tampons or pads from the store, even though _ didn't because she had switched to using menstrual cups.",Emily,Sarah,1
"Emily asked her sister Sarah if she needed any tampons or pads from the store, but _ didn't because she had switched to using menstrual cups.",Emily,Sarah,2
"Elena had a horrendous coughing fit from the pollen, unlike Tanya , since _ was immune to allergies.",Elena,Tanya,2
"Elena had a horrendous coughing fit from the pollen, unlike Tanya , since _ was susceptible to allergies.",Elena,Tanya,1
"Rebecca picked up Amy to carpool to work every day, so _ asked for some gas money.",Rebecca,Amy,1
"Rebecca picked up Amy to carpool to work every day, so _ offered some gas money.",Rebecca,Amy,2
Jennifer discreetly admitted to Erin that she didn't know how to apply eye shadow.  _ was reassuring.,Jennifer,Erin,2
Jennifer discreetly admitted to Erin that she didn't know how to apply eye shadow.  _ was embarrassed.,Jennifer,Erin,1
The employees threw a party and drank so much alcohol that they could not go into work the next day. The _ was loud.,party,alcohol,1
The employees threw a party and drank so much alcohol that they could not go into work the next day. The _ was copious.,party,alcohol,2
"Once in Poland, Dennis enjoyed the trip more than Jason because _ had a shallow understanding of the Polish language.",Dennis,Jason,2
"Once in Poland, Dennis enjoyed the trip more than Jason because _ had a deeper understanding of the Polish language.",Dennis,Jason,1
"The house Benjamin designed for Joseph was beautiful, so _ used it in his portfolio.",Benjamin,Joseph,1
"The house designed for Benjamin by Joseph was beautiful, so _ used it in his portfolio.",Benjamin,Joseph,2
John poured the entire bowl of fish into the hot pan on the stove until the _ was full.,bowl,pan,2
John poured the entire bowl of fish into the hot pan on the stove until the _ was empty.,bowl,pan,1
Sue wanted to practice meditation so she went to the gym with her class but the _ was too busy.,class,gym,2
Sue wanted to practice meditation so she went to the gym with her class but the _ was too late.,class,gym,1
Natalie thinks emeralds are beautiful gems but Betty does not. _ bought a necklace featuring a big diamond.,Natalie,Betty,2
Natalie thinks emeralds are beautiful gems but Betty does not. _ bought a necklace featuring a big emerald.,Natalie,Betty,1
Aaron hung his hunting rifle over the hearth after the most recent trip ended up with Benjamin making the fatal shot.  _ was happy for him.,Aaron,Benjamin,1
Aaron hung his hunting rifle over the hearth after the most recent trip ended up with Benjamin making the fatal shot.  _ was happy for himself.,Aaron,Benjamin,2
"Kevin is far more physically versatile than Nick, because _ is an injured athlete in bed.",Kevin,Nick,2
"Kevin is far more physically versatile than Nick, because _ is a seasoned athlete in training.",Kevin,Nick,1
Adam put handwash only clothes in the washer but Aaron washed them by hand as _ was lazy.,Adam,Aaron,1
Adam put handwash only clothes in the washer but Aaron washed them by hand as _ was conscientious.,Adam,Aaron,2
Kyle loves the flavor of apricots but Matthew likes plums better. _ couldn't wait for plum season.,Kyle,Matthew,2
Kyle loves the flavor of apricots but Matthew likes plums better. _ couldn't wait for apricot season.,Kyle,Matthew,1
"Derrick was unable to stay focused at work unlike Justin, because _ had a fun job.",Derrick,Justin,2
"Derrick was unable to stay focused at work unlike Justin, because _ had a boring job.",Derrick,Justin,1
"Avery was debating on taking up German instead of Latin, because the _ was newer.",Latin,German,2
"Avery was debating on taking up German instead of Latin, because the _ was old.",Latin,German,1
"Kayla dated many more people at once than Betty, because _ was in an open relationship.",Kayla,Betty,2
"Kayla dated many more people at once than Betty, because _ was in an exclusive relationship.",Kayla,Betty,1
Steven proudly showed Michael the mangoes he grew himself all this summer.  _ is hardworking.,Steven,Michael,1
Steven proudly showed Michael the mangoes he grew himself all this summer.  _ is astonished.,Steven,Michael,2
"The letter that Joel has written is being read by Adam, so _ is the writer.",Joel,Adam,1
"The letter that Joel has written is being read by Adam, so _ is the editor.",Joel,Adam,2
"Kyle was more comfortable speaking in front of large groups than Nick, because _ had taken public speaking courses in college.",Kyle,Nick,1
"Kyle was more comfortable speaking in front of large groups than Nick, because _ was not able to take public speaking courses in college.",Kyle,Nick,2
In the lagoon Emily swam in the nude while Felicia opted for a full body swimsuit. _ was very hesitant with showing their body.,Emily,Felicia,2
In the lagoon Emily swam in the nude while Felicia opted for a full body swimsuit. _ was very free with showing their body.,Emily,Felicia,1
Sarah Jane's watch smashed when the book hit it since the _ was too strong.,watch,book,2
Sarah Jane's watch smashed when the book hit it since the _ was too weak.,watch,book,1
"Joseph had to have well manicured nails for work, but not Kevin, because _ worked at a bank.",Joseph,Kevin,1
"Joseph had to have well manicured nails for work, but not Kevin, because _ worked at a farm.",Joseph,Kevin,2
"While out playing golf, Dennis fell in the mud, but Christopher kept their balance because _ had spiked shoes on.",Dennis,Christopher,2
"While out playing golf, Dennis fell in the mud, but Christopher kept their balance, because _ had slippery shoes on.",Dennis,Christopher,1
"I couldn't control the moisture like I controlled the rain, because the _ was coming in at one spot.",moisture,rain,2
"I couldn't control the moisture like I controlled the rain, because the _ was coming in everywhere.",moisture,rain,1
"Leslie was fascinated with collecting new shoes compared to Derrick, because _ loved fashion trends.",Leslie,Derrick,1
"Leslie was fascinated with collecting new shoes compared to Derrick, because _ hated fashion trends.",Leslie,Derrick,2
Jessica thought Sandstorm was the greatest song ever written but Patricia hated it. _ bought a ticket to the jazz concert.,Jessica,Patricia,2
Jessica thought Sandstorm was the greatest song ever written but Patricia hated it. _ bought a ticket to the Darude rave.,Jessica,Patricia,1
Bill poured the entire bowl of cheese snack into his mouth until the _ was empty.,mouth,bowl,2
Bill poured the entire bowl of cheese snack into his mouth until the _ was full.,mouth,bowl,1
"Ben played soccer and bowling every week. However, it was easy for him to play in the _ game because he hurt his arm.",bowling,soccer,2
"Ben played soccer and bowling every week. However, it was difficult for him to play in the _ game because he hurt his arm.",bowling,soccer,1
Nick had a bigger dog than Craig because _ fed their dog much more food.,Nick,Craig,1
Nick had a smaller dog than Craig because _ fed their dog much more food.,Nick,Craig,2
There was more shade in the yard of Christine than there was in the yard of Victoria because _ had more plants.,Christine,Victoria,1
There was more shade in the yard of Christine than there was in the yard of Victoria because _ had less plants.,Christine,Victoria,2
Kyle loves chocolate and candy and Steven loves pickles and lemons. _ loves sour foods.,Kyle,Steven,2
Kyle loves chocolate and candy and Steven loves pickles and lemons. _ loves sweet foods.,Kyle,Steven,1
"Since Benjamin ate unhealthy desserts far more frequently than Brett, _ had strong will power.",Benjamin,Brett,2
"Since Benjamin ate unhealthy desserts far more frequently than Brett, _ had weak will power.",Benjamin,Brett,1
Eric asked Michael on a date to go to the movies on Friday night because _ was very confident.,Eric,Michael,1
Eric asked Michael on a date to go to the movies Friday night because _ was very attractive.,Eric,Michael,2
"Amy hated the smell of bleach, but still Kayla used it all the time to clean so _ tries to use it less.",Amy,Kayla,2
"Amy hated the smell of bleach, but still Kayla used it all the time to clean so _ always leaves the house.",Amy,Kayla,1
Eric looked at Neil in shock and started to react violently because _ lied to him.,Eric,Neil,2
Eric looked at Neil in shock and started to react violently because _ felt betrayed.,Eric,Neil,1
"Matthew made sure to use an oil lubricant when expanding his piercing, unlike Jeffrey, so the painful experience from _ made a lot of sense.",Matthew,Jeffrey,2
"Matthew made sure to use an oil lubricant when expanding his piercing, unlike Jeffrey, so the agreeable experience from _ made a lot of sense.",Matthew,Jeffrey,1
Samantha brought a get well card to the hospital but Emily forgot to because _ was preoccupied.,Samantha,Emily,2
Samantha brought a get well card to the hospital but Emily forgot to because _ was thoughtful.,Samantha,Emily,1
Jessica took off the gloves and gave them to Katrina because _ 's hands were cold.,Jessica,Katrina,2
Jessica took off the gloves and gave them to Katrina because _ 's hands were warm.,Jessica,Katrina,1
"The lawsuit bankrupted the company, causing Megan to be let go from their job while Mary was promoted. _ felt relieved and elated.",Megan,Mary,2
"The lawsuit bankrupted the company, causing Megan to be let go from their job while Mary was promoted. _ felt depressed and hopeless.",Megan,Mary,1
John's certification was less important that Jim's degree because the _ was from a minor University.,certification,degree,1
John's certification was less important that Jim's degree because the _ was from a major University.,certification,degree,2
"They opted not to go to the dance but to the movie instead, the _ seemed like a proper destination for their date.",dance,movie,2
"They opted not to go to the dance but to the movie instead, the _ seemed like an inappropriate destination for their date.",dance,movie,1
"The thermostat showed that it was twenty degrees cooler downstairs than it was upstairs, so Byron stayed in the _ because he was hot.",downstairs,upstairs,1
"The thermostat showed that it was twenty degrees cooler downstairs than it was upstairs, so Byron stayed in the _ because he was cold.",downstairs,upstairs,2
Michael wanted to take Craig out on the water in his new boat. _ said it would be fun to show him the ropes.,Michael,Craig,1
Michael wanted to take Craig out on the water in his new boat. _ said it would be confusing to see how the boat works.,Michael,Craig,2
"Come over here and take a look at my scalp today  Natalie told Katrina, _ hates providing her  opinion.",Natalie,Katrina,2
"Come over here and take a look at my scalp today  Natalie told Katrina, _ needs a second opinion.",Natalie,Katrina,1
"The sushi rotted on the counter unless it was put in the cooler, as the _ exposed it to contamination.",counter,cooler,1
"The sushi rotted on the counter unless it was put in the cooler, as the _ protected it from contamination.",counter,cooler,2
The contract could not be drafted at the business during that day because the _ was too small to care about.,contract,business,1
The contract could not be drafted at the business during that day because the _ was too big to care about it.,contract,business,2
"Laura always had more motivation in life and achieving goals than Katrina, as _ was optimistic.",Laura,Katrina,1
"Laura always had more motivation in life and achieving goals than Katrina, as _ was lazy.",Laura,Katrina,2
Ben had to either stop eating chocolates or nuts. He chose to stop eating the _ because they were savory.,chocolates,nuts,2
Ben had to either stop eating chocolates or nuts. He chose to stop eating the _ because they were sweet.,chocolates,nuts,1
James was looking if there is any space to put the book into the shelf. The _ is small.,space,book,1
James was looking if there is any space to put the book into the shelf. The _ is big.,space,book,2
James was writing a poem on his jotter when the ink finished. The _ is a long .,poem,ink,1
James was writing a poem on his jotter when the ink finished. The _ is a low.,poem,ink,2
"The couple drank wine out of glasses instead of mugs, because the _ were clean.",mugs,glasses,2
"The couple drank wine out of glasses instead of mugs, because the _ were dirty.",mugs,glasses,1
Dividing the candy was more difficult than dividing the apples because every kid wanted the _ .,candy,apples,1
Dividing the candy was more difficult than dividing the apples because no kid wanted the _ .,candy,apples,2
Brian wanted to be a home based administrative assistant and Kenneth didn't because _ liked staying at home.,Brian,Kenneth,1
Brian wanted to be a home based administrative assistant and Kenneth didn't because _ did not like staying at home.,Brian,Kenneth,2
"Brian had a large collection of coins that Kevin really admired, so _ asked him for some duplicates.",Brian,Kevin,2
"Brian had a large collection of coins that Kevin really admired, so _ offered him some duplicates.",Brian,Kevin,1
"William forgot about all the times when Ian saved them, despite how _ was generally self-sacrificing.",William,Ian,2
"William forgot about all the times when Ian saved them, because _ was generally self-involved.",William,Ian,1
"Katrina's being taught how to speak Korean by Felicia, so _ was most likely born in Korea.",Katrina,Felicia,2
"Katrina's being taught how to speak Korean by Felicia, so _ was most likely born in the US.",Katrina,Felicia,1
Jason denied Ian's passport application because _ did not provide the correct paperwork in time.,Jason,Ian,2
Jason denied Ian's passport application because _ did not receive the correct paperwork in time.,Jason,Ian,1
I wanted a combination of Vanilla and tea tree essence scents but it smelled like Vanilla because the _ essence was too weak.,Vanilla,tea tree,2
I wanted a combination of Vanilla and tea tree essence scents but it smelled like Vanilla because the _ essence was too strong.,Vanilla,tea tree,1
I'd rather play on a soccer team than be a kicker on a foot ball team since the _ ball is harder to kick.,soccer,foot,2
I'd rather play on a soccer team than be a kicker on a foot ball team since the _ ball is easier to kick.,soccer,foot,1
"Kyle thought the temperature was too warm while William thought it was too cold, so _ turned the heat down.",Kyle,William,1
"Kyle thought the temperature was too warm while William thought it was too cold, so _ turned the heat up.",Kyle,William,2
"William wanted an egg for breakfast, but Kevin ate the last one, so _ had to give them cereal.",William,Kevin,2
"William wanted an egg for breakfast, but Kevin ate the last one, so _ had to eat cereal.",William,Kevin,1
The woman sprayed cleaner on the mirror but skipped the countertop because the _ was clean.,mirror,countertop,2
The woman sprayed cleaner on the mirror but skipped the countertop because the _ was dirty.,mirror,countertop,1
Justin wrote a paragraph in his planner every day unlike Matthew because _ was disorganized.,Justin,Matthew,2
Justin wrote a paragraph in his planner every day unlike Matthew because _ was organized.,Justin,Matthew,1
The children could only count the number of balls in one jar and not the beans in the other because the _ were too numerous.,balls,beans,2
The children could only count the number of balls in one jar and not the beans in the other because the _ were more manageable.,balls,beans,1
Erin is known an an entrepreneur while Victoria is only an employee because _ owns a business.,Erin,Victoria,1
Erin is known as an entrepreneur while Victoria is only an employee because _ doesn't yet own a business.,Erin,Victoria,2
Since _ arrived at work later Dennis would eat their lunch before Adam in the break room at their job.,Dennis,Adam,2
Since _ arrived at work sooner Dennis would eat their lunch before Adam in the break room at their job.,Dennis,Adam,1
"The stomach of Neil was rumbling, but Samuel seemed fine, due to _ being hungry.",Neil,Samuel,1
"The stomach of Neil was rumbling, but Samuel seemed fine, due to _ being satiated.",Neil,Samuel,2
After Logan contracted the chickenpox from Joseph so _ spent the day sending nice texts about it.,Logan,Joseph,2
After Logan contracted the chickenpox from Joseph so _ spent the day sending mean texts about it.,Logan,Joseph,1
The man wanted to put the luggage in the house but the _ was too small.,house,luggage,1
The man wanted to put the luggage in the house but the _ was too large.,house,luggage,2
The experience was totally unforgettable for Betty but not Samantha because _ had dreaded it for months.,Betty,Samantha,2
The experience was totally unforgettable for Betty but not Samantha because _ had anticipated it for months.,Betty,Samantha,1
Kyle got a new cell phone and showed it to Leslie because _ was happy about the new phone.,Kyle,Leslie,1
Kyle got a new cell phone and showed it to Leslie but _ was upset about the new phone.,Kyle,Leslie,2
"When one experiences cramps they can get into a warm bath or use a heating pad, but the _ is more of an inconvenience.",bath,heating pad,1
"When one experiences cramps they can get into a warm bath or use a heating pad, but the _ is more convenient.",bath,heating pad,2
"Neil agreed to help wash Adam's large dog, and _ was very eager to help.",Neil,Adam,1
"Neil agreed to help wash Adam's large dog, and _ was very grateful for the help.",Neil,Adam,2
"Cricket is a favorite past time of Lindsey, while Rachel has never heard of it. _ is more likely to be American.",Lindsey,Rachel,2
"Cricket is a favorite past time of Lindsey, while Rachel has never heard of it. _ is more likely to be British.",Lindsey,Rachel,1
It was clear that Jessica understood and was entertained by the article from Monica because _ was the reader.,Jessica,Monica,1
It was clear that Jessica understood and was entertained by the article from Monica because _ was the writer.,Jessica,Monica,2
"In an effort to control kennel cough, Emily sent Maria to get the medication but _ was busy examining the animals.",Emily,Maria,2
"In an effort to control kennel cough, Emily sent Maria to get the medication because _ was busy examining the animals.",Emily,Maria,1
Jan poured the entire cup of lemon juice into the bowl bananas until the _ was empty.,cup,bowl,1
Jan poured the entire cup of lemon juice into the bowl bananas until the _ was full.,cup,bowl,2
The insurance company blamed Leslie instead of Logan for the accident since _ had a green light.,Leslie,Logan,2
The insurance company blamed Leslie instead of Logan for the accident since _ ran a red light.,Leslie,Logan,1
The chef decided to store the food in the container but the _ was too large.,food,container,1
The chef decided to store the food in the container but the _ was too small.,food,container,2
"My sister enjoyed writing on the blog more than in her journal, because the _ for everyone to see.",blog,journal,1
"My sister enjoyed writing on the blog more than in her journal, because the _ for nobody to see.",blog,journal,2
"Derrick spent the entire summer laying on the hot beach, while Jeffrey spent the summer indoors, so _ 's hair had more sun damage.",Derrick,Jeffrey,1
"Derrick spent the entire summer laying on the hot beach, while Jeffrey spent the summer indoors, so _ 's hair had less sun damage.",Derrick,Jeffrey,2
This menu was very eclectic. They served everything from  a three tiered burger to sushi to omeletes. The _ was juicy.,burger,sushi,1
This menu was very eclectic. They served everything from  a three tiered burger to sushi to omeletes. The _ was raw.,burger,sushi,2
"the statistics show many females compared to the males are being born everyday, the _ are few.",females,males,2
"the statistics show many females compared to the males are being born everyday, the _ are many.",females,males,1
"Robert made the choice to buy Neil's house, so _ had a lot more money in the bank afterwards.",Robert,Neil,2
"Robert made the choice to buy Neil's house, so _ had a lot less money in the bank afterwards.",Robert,Neil,1
The medical exam for the broken arm was longer than the exam on the heart because the _ was a serious problem.,heart,arm,2
The medical exam for the broken arm was shorter than the exam on the heart because the _ was a serious problem.,heart,arm,1
"When opening up about their crushes, Kenneth sighed at Jeffrey because _ forgot who their crush was.",Kenneth,Jeffrey,2
"When opening up about their crushes, Kenneth laughed at Jeffrey because _ remembered who their crush was.",Kenneth,Jeffrey,1
"Jack loved math and disliked social sciences, so when deciding to take sociology or math that semester, the counselor entered the _ because Jack was receptive to it.",math,sociology,1
"Jack loved math and disliked social sciences, so when deciding to take sociology or math that semester, the counselor deleted the _ because Jack was resistant to it.",math,sociology,2
Christopher wanted to be a specialist but not Adam because _ had an interest in a limited number of subjects.,Christopher,Adam,1
Christopher wanted to be a specialist but not Adam because _ had an interest in a many number of subjects.,Christopher,Adam,2
Megan enjoyed summer while Felicia did not.   _  spent much time indoors.,Megan,Felicia,2
Megan enjoyed summer while Felicia did not.  _  spent much time at the beach.,Megan,Felicia,1
John could not remove the wallpaper attached to the wall with a glue without the wallpaper tearing apart. The _ is weak.,glue,wallpaper,2
John could not remove the wallpaper attached to the wall with a glue without the wallpaper tearing apart. The _ is strong.,glue,wallpaper,1
The counselor treated the child who suffered from abuse by giving her a teddy instead of a blanket because the _ was boring.,teddy,blanket,2
The counselor treated the child who suffered from abuse by giving her a teddy instead of a blanket because the _ was comforting.,teddy,blanket,1
John cared for the pot while it was being transported in the box but it eventually got broken. The _ is hard.,pot,box,2
John cared for the pot while it was being transported in the box but it eventually got broken. The _ is fragile.,pot,box,1
Donald offered Leslie their last stick of  mint gum as _ had a minty breath already.,Donald,Leslie,1
Donald offered Leslie their last sick some mint gum as _ had a stinky breath already.,Donald,Leslie,2
"After Samuel won the cherry jam contest, Kyle still believed they should have won since _ sweetened with low calorie sweetener and the judges went by taste.",Samuel,Kyle,2
"After Samuel won the cherry jam contest, Kyle still believed they should have won since _ sweetened with high calorie sweetener and the judges went by taste.",Samuel,Kyle,1
Felicia looked sad and disappointed after she asked Christine refused to be her girlfriend because _ liked her.,Felicia,Christine,1
Felicia looked sad and disappointed after she asked Christine refused to be her girlfriend because _ she was not lesbian.,Felicia,Christine,2
Matthew wants to sell Kevin tickets to the football game because _ needs the money.,Matthew,Kevin,1
Matthew wants to sell Kevin tickets to the football game but _ has no money.,Matthew,Kevin,2
Elena told Natalie to put the hood of her jacket up because _ was likely to get cold.,Elena,Natalie,2
Elena told Natalie to put the hood of her jacket up because _ didn't want her to get cold.,Elena,Natalie,1
Lawrence made a bowl at the pottery store and Randy accidentally broke it. _ decided to make another.,Lawrence,Randy,1
Lawrence made a bowl at the pottery store and Randy accidentally broke it. _ offered to make another.,Lawrence,Randy,2
The node on the head needed medication applied to its area because the _ was swollen.,node,medication,1
The node on the head needed medication applied to its area because the _ would contract it.,node,medication,2
Sue traditionally donated old clothes to her favorite charity but in recent years has just written them checks as the _ were better received.,checks,clothes,1
Sue traditionally donated old clothes to her favorite charity but in recent years has just written them checks as the _ were worse received.,checks,clothes,2
Matthew offered to help write a fitness plan for Christopher because _ was out of shape.,Matthew,Christopher,2
Matthew offered to help write a fitness plan for Christopher because _ was a personal trainer.,Matthew,Christopher,1
The waves destroyed the garage but left the house intact because the _ was so close to the shore.,garage,house,1
The waves destroyed the garage but left the house intact because the _ was so far from the shore.,garage,house,2
Katrina sells Maria a rug at the local flea market because _ is a customer.,Katrina,Maria,2
Katrina sells Maria a rug at the local flea market because _ is a vendor.,Katrina,Maria,1
"Joan's grandmother always wanted a hug and a kiss, but Joan preferred the _ because she was afraid of germs.",kiss,hug,2
"Joan's grandmother always wanted a hug and a kiss, but Joan didn't like the _ because she was afraid of germs.",kiss,hug,1
The library kept an enormous collection of novels but not comics because the _ were dull.,novels,comics,2
The library kept an enormous collection of novels but not comics because the _ were popular.,novels,comics,1
Carrie's store has more loyal customers than Patricia's store does because _ 's store is older.,Carrie,Patricia,1
Carrie's store has more loyal customers than Patricia's store does because _ 's store is newer.,Carrie,Patricia,2
Christine didn't pass the lie detection test that Jessica did because _ had something to hide.,Christine,Jessica,1
Christine didn't pass the lie detection test that Jessica did because _ had nothing to hide.,Christine,Jessica,2
Carrie faced the fan away from Angela because _ was getting too warm in the kitchen.,Carrie,Angela,1
Carrie faced the fan toward Angela because _ was getting too warm in the kitchen.,Carrie,Angela,2
"The winter made Jason's hands dry, but not Leslie's, since _ always forgot to moisturize at night.",Jason,Leslie,1
"The winter made Jason's hands dry, but not Leslie's, since _ never forgot to moisturize at night.",Jason,Leslie,2
"Because Carrie lost a bet to Cynthia over the basketball game, _ spent hours having the cleaning done for them.",Carrie,Cynthia,2
"Because Carrie lost a bet to Cynthia over the basketball game, _ spent hours doing the cleaning.",Carrie,Cynthia,1
I would rather listen to the radio than watch the TV at night since I find the _ disruptive.,radio,TV,2
I would rather listen to the radio than watch the TV at night since I find the _ soothing.,radio,TV,1
Randy started his own business while Ryan worked for someone else so _ had self-employment taxes.,Randy,Ryan,1
Randy started his own business while Ryan worked for someone else so _ had W4 taxes.,Randy,Ryan,2
"Her boyfriend regretted buying her a jacket and got her a new hat instead, as he knew she thought the _ was a perfect match for her wardrobe.",jacket,hat,2
"Her boyfriend regretted buying her a jacket and got her a new hat instead, as he knew she thought the _ was a bad match for her wardrobe.",jacket,hat,1
"Monica wanted to use a vacuum to clean the floor, but Victoria wanted to use a broom. _ cleaned the floor much slower.",Monica,Victoria,2
"Monica wanted to use a vacuum to clean the floor, but Victoria wanted to use a broom. _ cleaned the floor much quicker.",Monica,Victoria,1
"I used several sprays to get rid of the bedbugs but they didn't work, because the _ were powerless.",sprays,bedbugs,1
"I used several sprays to get rid of the bedbugs but they didn't work, because the _ were powerful.",sprays,bedbugs,2
Monica enjoyed watching Western films while Natalie enjoyed romantic ones more because _ grew up on a farm.,Monica,Natalie,1
Monica enjoyed watching Western films while Natalie enjoyed romantic ones more because _ grew up watching soap operas.,Monica,Natalie,2
There were more books at the library than at the bookstore because the _ was bigger.,library,bookstore,1
There were more books at the library than at the bookstore because the _ was smaller.,library,bookstore,2
Drawing was a talent of Sarah but not Carrie so _ was always eager to see her artwork .,Sarah,Carrie,2
Drawing was a talent of Sarah but not Carrie so _ was always eager to show her her artwork .,Sarah,Carrie,1
Emily spent a lot of money on their smartphone but Rachel bought a cheap one because _ was very dowdy.,Emily,Rachel,2
Emily spent a lot of money on their smartphone but Rachel bought a cheap one because _ was very stylish.,Emily,Rachel,1
"Tea and coffee should be drunk out of different vessels, cups and mugs respectively. Coffee is usually served in the _ , with milk and sometimes sugar.",cup,mug,2
"Tea and coffee should be drunk out of different vessels, cups and mugs respectively. Tea is usually served in the _ , with milk and sometimes sugar.",cup,mug,1
Neil asked Michael what it was like to go to war because _ was a pacifist.,Neil,Michael,1
Neil asked Michael what it was like to go to war because _ was ex-military.,Neil,Michael,2
I went into the mine looking for diamonds but all I found was quartz and topaz.  I settled on the _ because it was almost clear.,topaz,quartz,2
I went into the mine looking for diamonds but all I found was quartz and topaz.  I settled on the _ because it shined yellow.,topaz,quartz,1
"The chef thinks it's more healthy to eat apples than beets, so he hates putting the _ in his smoothies.",apples,beets,2
